part_number,capture_sequence,propaedia_page_reference,image_relative_path,header_context,topic_summary,extracted_count,risky_recommendation_count,extracted_titles,review_status,visual_title_count,missing_titles,extra_titles,notes
2,1,66,propaedia_pages/part_2/propaedia-2010-part-02-photo-01.jpg,66 Part Two. The Earth,Major articles dealing with the planet Earth,2,2,"Earth, The: Its Properties, Composition, and Structure | Solar System, The",verified,,,,
2,2,67,propaedia_pages/part_2/propaedia-2010-part-02-photo-02.jpg,Division I. Section 212,Major articles dealing with the Earth's physical properties,3,1,"Earth, The: Its Properties, Composition, and Structure | Minerals and Rocks | Volcanism",verified,,,,
2,3,68,propaedia_pages/part_2/propaedia-2010-part-02-photo-03.jpg,68 Part Two. The Earth,Major articles dealing with the structure and composition of the Earth's interior,2,1,"Earth, The: Its Properties, Composition, and Structure | Earthquakes",verified,,,,
2,4,71,propaedia_pages/part_2/propaedia-2010-part-02-photo-04.jpg,Division I. Section 214,Major articles dealing with the Earth's constituent minerals and rocks,5,2,"Chemical Elements | Earth, The: Its Properties, Composition, and Structure | Fuels, Fossil | Minerals and Rocks | Volcanism",verified,,,,
2,5,74,propaedia_pages/part_2/propaedia-2010-part-02-photo-05.jpg,74 Part Two. The Earth,Major article dealing with the atmosphere,1,0,Atmosphere,verified,,,,
2,6,76,propaedia_pages/part_2/propaedia-2010-part-02-photo-06.jpg,76 Part Two. The Earth,"Major articles dealing with the hydrosphere: the oceans, freshwater bodies, and ice masses",6,2,"Earth, The: Its Properties, Composition, and Structure | Lakes | Oceans | Hydrosphere, The | Rivers | Ice and Ice Formations",verified,,,,
2,7,78,propaedia_pages/part_2/propaedia-2010-part-02-photo-07.jpg,78 Part Two. The Earth,Major article dealing with weather and climate,1,0,Climate and Weather,verified,,,,
2,8,80,propaedia_pages/part_2/propaedia-2010-part-02-photo-08.jpg,80 Part Two. The Earth,Major articles dealing with the physical features of the Earth's surface,5,1,"Continental Landforms | Earth, The: Its Properties, Composition, and Structure | Oceans | Plate Tectonics | Volcanism",verified,,,,
2,9,84,propaedia_pages/part_2/propaedia-2010-part-02-photo-09.jpg,84 Part Two. The Earth,Major articles dealing with the features produced by geomorphic processes acting on the Earth's surface,9,1,"Lakes | Continental Landforms | Oceans | Earth, The: Its Properties, Composition, and Structure | Rivers | Soils | Geomorphic Processes | Volcanism | Ice and Ice Formations",verified,,,,
2,10,86,propaedia_pages/part_2/propaedia-2010-part-02-photo-10.jpg,86 Part Two. The Earth,Major articles dealing with the origin and development of the tarth and ils enverope,4,1,"Atmosphere | Earth, The: Its Properties, Composition, and Structure | Plate Tectonics | Volcanism",verified,,,,
2,11,88,propaedia_pages/part_2/propaedia-2010-part-02-photo-11.jpg,88 Part Two. The Barth,Major articles dealing with the interpretation of the geologic record,2,1,"Earth, The: Its Properties, Composition, and Structure | Geochronology: The Interpretation and Dating of the Geologic Record",verified,,,,
2,12,89,propaedia_pages/part_2/propaedia-2010-part-02-photo-12.jpg,Division IV. Section 243,Major articles dealing with the eras and periods of geologic time,3,1,"Earth, The: Its Properties, Composition, and Structure | Geochronology: The Interpretation and Dating of the Geologic Record | Volcanism",verified,,,,
3,1,96,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg,96 Part Three. Life on Earth,Major articles dealing with the characteristics of living things,19,8,"Growth and Development, Biological | Animals | Life | Bacteria and Other Monerans | Metabolism | Behaviour, Animal | Mimicry | Biological Sciences, The | Photosynthesis | Biosphere, The | Plants | Cells: Their Structures and Functions | Protists | Coloration, Biological | Reproduction and Reproductive Systems | Evolution, The Theory of | Sensory Reception | Fungi | Genetics and Heredity, The Principles of",verified,,,,
3,2,97,propaedia_pages/part_3/propaedia-2010-part-03-photo-02.jpg,Division I. Section 312,Major articles and a biography dealing with the origin of life and the evolution of living things,5,3,"Coloration, Biological | Darwin | Evolution, Human | Evolution, The Theory of | Mimicry",verified,,,,
3,3,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,100 Part Three. Life on Earth,,30,12,Moss Animals: Phylum Bryozoa | Flatworms: | Algae | Bryophytes | Plants | Platyhelminthes | Chordates | Protists | Fungi | Cnidarians | Protozoa | Gymnosperms | Crustaceans | Reptiles | Insects | ihmtl | Dinosaurs | Sponges: Phylum | Lamp Shells: | Echinoderms | Porifera | Phylum | Ferns and Other | Viruses | Brachiopoda | Lower Vascular | Mammals | Plants | Mollesks | Fishes,pending,,,,
3,4,113,propaedia_pages/part_3/propaedia-2010-part-03-photo-04.jpg,Division II. Section 321,Major articles dealing with chemicals and the vital processes,5,0,Drugs and Drug Action | Biochemical Components of Organisms | Poisons and Poisoning | Cells: Their Structures and Functions | Chemical Compounds,pending,,,,
3,5,115,propaedia_pages/part_3/propaedia-2010-part-03-photo-05.jpg,Division II. Section 322,Major articles dealing with metabolism: bioenergetics and biosynthesis,3,1,Cells: Their Structures and Functions | Metabolism | Photosynthesıs,pending,,,,
3,6,116,propaedia_pages/part_3/propaedia-2010-part-03-photo-06.jpg,116 Part Three. Life on Earth,Major articles dealing with vital processes at the molecular level,4,0,Cells: Their Structures and Functions | Electricity and Magnetism | Muscles and Muscle Systems | Nerves and Nervous Systems,pending,,,,
3,7,118,propaedia_pages/part_3/propaedia-2010-part-03-photo-07.jpg,118 Part Three. Life on Earth,Major article dealing with the cellular basis of form and function,1,0,Cells: Their Structures and Functions,pending,,,,
3,8,119,propaedia_pages/part_3/propaedia-2010-part-03-photo-08.jpg,Division III. Section 332,Major articles dealing with the relation of form and function in organisms,14,0,Integumentary Systems | Animals | Muscles and Muscle Systems | Blood | Nerves and Nervous Systems | Cells: Their Structures and Functions | Plants | Circulation and Circulatory Systems | Reproduction and Reproductive Systems | Digestion and Digestive Systems | Respiration and Respiratory Systems | Endocrine Systems | Supportive and Connective Tissues | Excretion and Excretory Systems,pending,,,,
3,9,121,propaedia_pages/part_3/propaedia-2010-part-03-photo-09.jpg,Division III. Section 333,Major articles dealing with the coordination of vital processes: regulation and integration,3,0,Endocrine Systems | Nerves and Nervous Systems | Sensory Reception,pending,,,,
3,10,123,propaedia_pages/part_3/propaedia-2010-part-03-photo-10.jpg,Division III. Section 335,"Major articles dealing with covering and support: integumentary, skeletal, and musculatory systems",3,0,Integumentary Systems | Muscles and Muscle Systems | Supportive and Connective Tissues,pending,,,,
3,11,124,propaedia_pages/part_3/propaedia-2010-part-03-photo-11.jpg,124 Part Three. Life on Earth,Major articles dealing with nutrition: the procurement and processing of nutrients,2,0,Digestion and Digestive Systems | Nutrition,pending,,,,
3,12,125,propaedia_pages/part_3/propaedia-2010-part-03-photo-12.jpg,Division III. Section 336,"Major articles dealing with gas exchange, internal transport, and elimination",4,0,Cells: Their Structures and Functions | Circulation and Circulatory Systems | Excretion and Excretory Systems | Respiration and Respiratory Systems,pending,,,,
3,13,127,propaedia_pages/part_3/propaedia-2010-part-03-photo-13.jpg,Division III. Section 337,Major articles dealing with reproduction and sex,3,1,"Behaviour, Animal | Reproduction and Reproductive Systems | Sex and Sexuality",pending,,,,
3,14,128,propaedia_pages/part_3/propaedia-2010-part-03-photo-14.jpg,128 Part Three. Life on Earth,"Major articles dealing with development: growth, differentiation, and morphogenesis",2,1,"Death | Growth and Development, Biological",pending,,,,
3,15,129,propaedia_pages/part_3/propaedia-2010-part-03-photo-15.jpg,Division III. Section 339,Major article dealing with heredity: the transmission of traits,1,1,"Genetics and Heredity, The Principles of",pending,,,,
3,16,130,propaedia_pages/part_3/propaedia-2010-part-03-photo-16.jpg,130 Part Three. Life on Earth,Major article dealing with the nature and patterns of behavioral responses,1,1,"• Behaviour, Animal",pending,,,,
3,17,131,propaedia_pages/part_3/propaedia-2010-part-03-photo-17.jpg,Division IV. Section 342,Major articles dealing with the development and range of behavioral capacities: ındividual and group behaviour,2,2,"Behaviour, Animal | Learning, Animal",pending,,,,
3,18,133,propaedia_pages/part_3/propaedia-2010-part-03-photo-18.jpg,Division V. Section 352,Major article dealing with the basic features of the biosphere,1,1,"Biosphere,The",pending,,,,
3,19,134,propaedia_pages/part_3/propaedia-2010-part-03-photo-19.jpg,134 Part Three. Life on Earth,Major articles dealing with biological populations and communities,2,2,"Behaviour, Animal | Biosphere, The",pending,,,,
3,20,135,propaedia_pages/part_3/propaedia-2010-part-03-photo-20.jpg,Division V. Section 353,Major articles dealing with hazards of life in the biosphere: disease and death,3,0,Death | Disease | Immunity,pending,,,,
3,21,137,propaedia_pages/part_3/propaedia-2010-part-03-photo-21.jpg,Division V. Section 355,Major articles dealing with biogeographic distribution of organisms: ecosystems,6,2,"Biosphere and Concepts | Rivers | of Ecology, The | Trees | Lakes | Oceans",pending,,,,
3,22,138,propaedia_pages/part_3/propaedia-2010-part-03-photo-22.jpg,138 Part Three. Life on Earth,Major articles dealing with the place of humans in the biosphere,8,3,"Farming and Agricultural Technology | Biosphere and Concepts of Ecology, The | Forestry and Wood Production | Cats, Domestic | Gardening and Horticulture | Conservation of Natural Resources | Horses and Horsemanship | Dogs",pending,,,,
